saat,transfer_type,transfertipid,ulasimturu,line,passage,passanger
2021-06-27 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,15897,2207
2021-06-04 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,26682,13126
2021-06-11 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3394,1695
2021-06-17 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,20,10
2021-06-29 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,11466,5673
2021-06-01 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,7,1
2021-06-25 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,26166,3712
2021-06-02 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5018,2486
2021-06-05 01:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2,1
2021-06-14 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,21868,10804
2021-06-02 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,16646,2365
2021-06-05 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,26565,3770
2021-06-07 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,14105,2013
2021-06-08 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,1379,196
2021-06-17 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,49,6
2021-06-18 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6100,3023
2021-06-21 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,14520,7203
2021-06-22 10:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,2928,1442
2021-06-24 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20138,9940
2021-06-27 06:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,320,160
2021-06-04 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,28525,4015
2021-06-18 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,294,42
2021-06-20 01:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,7,1
2021-06-04 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,2,1
2021-06-12 03:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,29630,14563
2021-06-04 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,32641,4574
2021-06-05 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,21,3
2021-06-08 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,20020,2838
2021-06-05 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,124,62
2021-06-08 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3532,1761
2021-06-22 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,23692,11675
2021-06-28 02:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,16258,7947
2021-06-02 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,73066,10335
2021-06-10 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,1771,253
2021-06-15 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,3640,520
2021-06-28 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,44037,6155
2021-06-04 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10100,4982
2021-06-07 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,10038,4956
2021-06-18 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5502,2718
2021-06-20 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1876,915
2021-06-06 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,4851,679
2021-06-12 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,95851,13511
2021-06-18 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,72492,10196
2021-06-20 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,84,12
2021-06-23 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,16933,2403
2021-06-25 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12670,1799
2021-06-02 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1140,570
2021-06-15 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,7838,3830
2021-06-17 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,7946,3930
2021-06-10 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,23163,3273
2021-06-16 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,12936,1834
2021-06-22 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,47026,6631
2021-06-28 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,101654,14356
2021-06-05 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,35014,17301
2021-06-10 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4890,2431
2021-06-18 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,12,6
2021-06-20 09:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,468,230
2021-06-30 02:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,15324,7509
2021-06-02 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,56,8
2021-06-26 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,38962,5527
2021-06-30 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,42798,5964
2021-06-03 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5398,2669
2021-06-12 07:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,7710,3807
2021-06-15 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20700,10226
2021-06-20 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1228,599
2021-06-03 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,18319,2604
2021-06-06 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,3577,506
2021-06-08 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12012,1715
2021-06-09 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,1750,250
2021-06-18 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,70,10
2021-06-20 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,15302,2133
2021-06-19 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7524,3737
2021-06-22 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,14192,7043
2021-06-23 10:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,2540,1245
2021-06-25 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20384,10069
2021-06-28 06:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,5638,2797
2021-06-05 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,45619,6427
2021-06-30 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8,4
2021-06-19 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,749,107
2021-06-30 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,101997,14389
2021-06-13 03:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,3842,1865
2021-06-09 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,24094,3414
2021-06-18 09:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,34286,4835
2021-06-06 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,18,9
2021-06-09 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5250,2604
2021-06-23 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,19790,9770
2021-06-29 02:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,16128,7931
2021-06-03 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,74683,10568
2021-06-10 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,13734,1958
2021-06-11 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,1869,264
2021-06-16 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,3220,460
2021-06-29 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,42021,5914
2021-06-05 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,9108,4485
2021-06-08 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,10508,5188
2021-06-19 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4150,2064
2021-06-21 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6802,3383
2021-06-30 06:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,4312,2138
2021-06-01 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,17367,2462
2021-06-07 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,24227,3428
2021-06-13 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,11165,1559
2021-06-19 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,88165,12394
2021-06-21 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,287,41
2021-06-24 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,17157,2430
2021-06-26 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,8897,1268
2021-06-03 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,948,474
2021-06-16 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,6598,3241
2021-06-18 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,6506,3218
2021-06-29 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10,5
2021-06-11 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,26103,3705
2021-06-17 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,21546,3057
2021-06-20 09:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,4550,640
2021-06-23 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,40327,5677
2021-06-29 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,104027,14701
2021-06-06 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,3964,1927
2021-06-11 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5112,2545
2021-06-19 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8,4
